"REG";"DEP";"DEPCOM";"DCIRIS";"AN";"TYPEQU";"LAMBERT_X";"LAMBERT_Y";"QUALITE_XY"
11;"75";"75117";"75117_6813";2019;"E108";649529.67;6866172.33;"Bonne"
11;"77";"77111";"77111";2019;"E107";684058.523;6863346.68;"Bonne"
11;"75";"75110";"75110_3710";2019;"E107";653001.571;6864366.1;"Bonne"
11;"93";"93055";"93055_0802";2019;"E108";656031.744;6866618.6;"Bonne"
11;"93";"93053";"93053_0106";2019;"E108";660461.836;6866444.31;"Bonne"
11;"93";"93010";"93010_0204";2019;"E108";661782.29;6866108.51;"Bonne"
11;"93";"93077";"93077_0106";2019;"E108";664222.048;6865565.83;"Bonne"
11;"93";"93032";"93032_0101";2019;"E108";665274.93;6864933.36;"Bonne"
11;"93";"93032";"93032_0115";2019;"E108";667191.779;6864253.87;"Bonne"
11;"93";"93064";"93064_0101";2019;"E108";661944.068;6864840.87;"Bonne"
11;"93";"93064";"93064_0106";2019;"E108";662272.671;6863496.54;"Bonne"
11;"94";"94033";"94033_0105";2019;"E108";662519.241;6861696.87;"Bonne"
11;"94";"94052";"94052_0103";2019;"E108";662868.81;6859977.86;"Bonne"
11;"94";"94017";"94017_0701";2019;"E108";664117.015;6858429.84;"Bonne"
11;"94";"94079";"94079_0000";2019;"E108";666414.639;6858232.6;"Bonne"
11;"93";"93051";"93051_0202";2019;"E108";669113.683;6858244.28;"Bonne"
11;"77";"77368";"77368";2019;"E108";721177.93;6827317.34;"Bonne"
11;"77";"77215";"77215_0101";2019;"E108";679968.079;6849590.17;"Bonne"
11;"77";"77350";"77350_0401";2019;"E108";677247.489;6852313.59;"Bonne"
11;"77";"77390";"77390_0202";2019;"E108";674358.941;6855102.01;"Bonne"
11;"77";"77169";"77169_0101";2019;"E108";671900.41;6856355.4;"Bonne"
11;"77";"77493";"77493";2019;"E108";687102.231;6838293.44;"Bonne"
11;"77";"77317";"77317";2019;"E108";691785.89;6834864.14;"Bonne"
11;"77";"77327";"77327_0101";2019;"E108";700951.885;6829005.35;"Bonne"
11;"77";"77284";"77284_0902";2019;"E108";690711.187;6872996.67;"Bonne"
11;"77";"77108";"77108_0502";2019;"E108";669428.337;6863885.8;"Bonne"
11;"77";"77260";"77260";2019;"E108";718306.905;6823944.88;"Bonne"
11;"77";"77379";"77379_0201";2019;"E108";722384.867;6828441.3;"Bonne"
11;"77";"77404";"77404";2019;"E108";718887.454;6825524.15;"Bonne"
11;"77";"77470";"77470_0103";2019;"E108";682289.812;6848829.8;"Bonne"
11;"77";"77229";"77229";2019;"E108";690312.051;6848270.85;"Bonne"
11;"77";"77318";"77318";2019;"E109";693204.583;6854342.61;"Bonne"
11;"77";"77219";"77219";2019;"E108";696669.189;6856714.14;"Bonne"
11;"77";"77371";"77371";2019;"E108";699500.745;6856504.5;"Bonne"
11;"77";"77320";"77320";2019;"E109";703132.987;6857083.3;"Bonne"
11;"77";"77479";"77479_0102";2019;"E108";673438.457;6863970.66;"Bonne"
11;"77";"77131";"77131_0201";2019;"E108";705989.536;6856406.17;"Bonne"
11;"77";"77464";"77464_0101";2019;"E108";678310.459;6864716.41;"Bonne"
11;"77";"77171";"77171_0101";2019;"E108";686120.948;6867036.5;"Bonne"
11;"77";"77315";"77315";2019;"E109";687267.79;6865672.78;"Bonne"
11;"77";"77475";"77475";2019;"E108";696304.918;6873355.14;"Bonne"
11;"77";"77084";"77084";2019;"E108";701927.39;6873260.87;"Bonne"
11;"77";"77183";"77183_0101";2019;"E108";709111.889;6872341.39;"Bonne"
11;"77";"77397";"77397";2019;"E108";716119.77;6874906.63;"Bonne"
11;"77";"77231";"77231";2019;"E109";700552.466;6877579.87;"Bonne"
11;"77";"77257";"77257";2019;"E108";702336.122;6880221.57;"Bonne"
11;"77";"77148";"77148";2019;"E108";704594.394;6887970.22;"Bonne"
11;"77";"77413";"77413";2019;"E109";689311.895;6864764.6;"Bonne"
11;"77";"77142";"77142";2019;"E109";691317.48;6862687.43;"Bonne"
11;"77";"77142";"77142";2019;"E108";693076.861;6862184.68;"Bonne"
11;"93";"93066";"93066_1101";2019;"E108";652400.176;6868830.25;"Bonne"
11;"93";"93066";"93066_1104";2019;"E108";653282.764;6868851.97;"Bonne"
11;"75";"75110";"75110_3712";2019;"E107";652684.738;6864817.94;"Bonne"
11;"93";"93066";"93066_1101";2019;"E108";652041.72;6870767.08;"Bonne"
11;"93";"93031";"93031_0402";2019;"E108";650817.519;6873342.38;"Bonne"
11;"93";"93031";"93031_0104";2019;"E108";648908.709;6872905.75;"Bonne"
11;"93";"93059";"93059_0103";2019;"E108";654037.513;6873951.78;"Bonne"
11;"95";"95197";"95197_0108";2019;"E108";649970.564;6874246.78;"Bonne"
11;"92";"92036";"92036_0404";2019;"E108";649263.487;6870601.73;"Bonne"
11;"93";"93070";"93070_0109";2019;"E108";650336.341;6867466.19;"Bonne"
11;"93";"93027";"93027_0103";2019;"E108";654973.632;6869521.37;"Bonne"
11;"93";"93013";"93013_0106";2019;"E108";657918.168;6870243.17;"Bonne"
11;"93";"93029";"93029_0101";2019;"E108";660114.587;6870419.99;"Bonne"
11;"93";"93005";"93005_0902";2019;"E108";662966.517;6870356.55;"Bonne"
11;"93";"93071";"93071_0110";2019;"E108";665984.29;6870827.32;"Bonne"
11;"93";"93078";"93078_0116";2019;"E108";668296.027;6871686.04;"Bonne"
11;"93";"93071";"93071_0108";2019;"E108";665192.794;6871879.59;"Bonne"
11;"93";"93078";"93078_0107";2019;"E108";664291.208;6873795.62;"Bonne"
11;"93";"93073";"93073_0303";2019;"E108";667795.926;6878949.64;"Bonne"
11;"93";"93007";"93007_0116";2019;"E108";661671.99;6870377.21;"Bonne"
11;"93";"93078";"93078_0101";2019;"E108";664413.225;6874941.43;"Bonne"
11;"93";"93073";"93073_0303";2019;"E107";668595.211;6878265.53;"Bonne"
11;"77";"77294";"77294_0201";2019;"E108";670797.807;6872606.99;"Bonne"
11;"77";"77294";"77294_0103";2019;"E108";673817.311;6875162.53;"Bonne"
11;"77";"77420";"77420";2019;"E108";677996.274;6881401.18;"Bonne"
11;"95";"95660";"95660";2019;"E109";652383.366;6886683.47;"Bonne"
11;"95";"95594";"95594";2019;"E109";656128.71;6891208.37;"Bonne"
11;"77";"77123";"77123";2019;"E109";675498.928;6876904.48;"Bonne"
11;"77";"77462";"77462";2019;"E109";676629.253;6878802.61;"Bonne"
11;"92";"92036";"92036_0404";2019;"E108";649739.706;6869108.52;"Bonne"
11;"95";"95210";"95210_0501";2019;"E108";649257.504;6874994.99;"Bonne"
11;"95";"95598";"95598_0107";2019;"E108";648185.338;6875742.28;"Bonne"
11;"95";"95219";"95219_0501";2019;"E108";646616.844;6875873.77;"Bonne"
11;"95";"95219";"95219_0601";2019;"E108";645620.22;6876405.54;"Bonne"
11;"95";"95252";"95252_0101";2019;"E108";644016.783;6877341.7;"Bonne"
11;"95";"95051";"95051_0101";2019;"E108";641239.692;6878950.76;"Bonne"
11;"95";"95488";"95488_0102";2019;"E108";638123.013;6880262.3;"Bonne"
11;"95";"95572";"95572_0117";2019;"E108";634765.047;6883203.22;"Bonne"
11;"95";"95500";"95500_0201";2019;"E108";633907.791;6883362.01;"Bonne"
11;"95";"95572";"95572_0112";2019;"E109";635931.829;6884314.6;"Bonne"
11;"95";"95572";"95572_0112";2019;"E108";636529.373;6884943.08;"Bonne"
11;"95";"95039";"95039_0103";2019;"E109";637197.765;6885781.07;"Bonne"
11;"95";"95555";"95555_0106";2019;"E108";647674.264;6873998.86;"Bonne"
11;"95";"95582";"95582_0106";2019;"E108";646103.194;6874720.74;"Bonne"
11;"95";"95268";"95268_0109";2019;"E108";655387.532;6875371.25;"Bonne"
11;"95";"95019";"95019_0102";2019;"E108";657286.355;6877251.73;"Bonne"
11;"95";"95280";"95280_0102";2019;"E108";661853.295;6881628.28;"Bonne"
11;"95";"95280";"95280_0110";2019;"E108";660761.807;6880594.62;"Bonne"
11;"95";"95351";"95351_0101";2019;"E108";663577.652;6883373.25;"Bonne"
11;"95";"95250";"95250_0101";2019;"E108";665348.25;6888973.38;"Bonne"
11;"95";"95197";"95197_0103";2019;"E108";651559.818;6875312.87;"Bonne"
11;"95";"95288";"95288_0102";2019;"E108";652680.89;6876240.91;"Bonne"
11;"95";"95539";"95539_0106";2019;"E108";653796.433;6877499.2;"Bonne"
11;"95";"95229";"95229_0103";2019;"E108";653403.178;6880505.84;"Bonne"
11;"95";"95199";"95199_0104";2019;"E108";651580.527;6881646.34;"Bonne"
11;"95";"95116";"95116";2019;"E109";650908.2;6895256.92;"Bonne"
11;"95";"95487";"95487_0104";2019;"E108";647342.585;6894471.98;"Bonne"
11;"95";"95091";"95091_0103";2019;"E108";650523.014;6883002.16;"Bonne"
11;"95";"95430";"95430";2019;"E108";650508.212;6885367.93;"Bonne"
11;"95";"95504";"95504";2019;"E108";647992.554;6890612.01;"Bonne"
11;"95";"95134";"95134";2019;"E108";644704.541;6893164.16;"Bonne"
11;"95";"95480";"95480_0101";2019;"E108";642316.576;6890844.76;"Bonne"
11;"95";"95120";"95120";2019;"E108";641728.629;6888297.13;"Bonne"
11;"95";"95039";"95039_0101";2019;"E108";639826.375;6885987.74;"Bonne"
11;"95";"95056";"95056";2019;"E108";653349.758;6888911.15;"Bonne"
11;"95";"95652";"95652";2019;"E108";653930.916;6890987.5;"Bonne"
11;"95";"95352";"95352";2019;"E108";657772.253;6891033.71;"Bonne"
11;"95";"95219";"95219_0601";2019;"E108";646092.061;6876917.82;"Bonne"
11;"95";"95219";"95219_0801";2019;"E108";645812.449;6877632.76;"Bonne"
11;"95";"95563";"95563_0103";2019;"E108";644592.768;6879777.99;"Bonne"
11;"95";"95607";"95607_0112";2019;"E108";643637.677;6880482.56;"Bonne"
11;"95";"95607";"95607_0113";2019;"E108";643076.515;6880876.21;"Bonne"
11;"95";"95060";"95060_0102";2019;"E108";642224.088;6882047.47;"Bonne"
11;"95";"95256";"95256";2019;"E108";641297.11;6883222.63;"Bonne"
11;"95";"95394";"95394_0101";2019;"E108";640871.895;6884506.68;"Bonne"
11;"95";"95392";"95392";2019;"E108";641951.492;6886729.07;"Bonne"
11;"95";"95452";"95452";2019;"E108";647453.909;6892796.96;"Bonne"
11;"75";"75110";"75110_3703";2019;"E108";652943.173;6864671.27;"Bonne"
11;"75";"75109";"75109_3311";2019;"E108";650924.973;6864088.65;"Bonne"
11;"75";"75113";"75113_5016";2019;"E108";654333.197;6858922.31;"Bonne"
11;"95";"95450";"95450";2019;"E108";632588.971;6879674.73;"Bonne"
11;"95";"95572";"95572_0108";2019;"E108";636266.3;6881901.85;"Bonne"
11;"78";"78551";"78551_0112";2019;"E108";631819.562;6866461.68;"Bonne"
11;"75";"75117";"75117_6609";2019;"E108";648546.494;6865293.14;"Bonne"
11;"75";"75117";"75117_6501";2019;"E108";647534.981;6864444.18;"Bonne"
11;"75";"75116";"75116_6306";2019;"E108";646869.771;6863729.66;"Bonne"
11;"75";"75116";"75116_6304";2019;"E108";646601.291;6863013.77;"Bonne"
11;"92";"92009";"92009_0108";2019;"E108";646636.644;6868439.04;"Bonne"
11;"92";"92025";"92025_0106";2019;"E108";645712.795;6869577.49;"Bonne"
11;"92";"92025";"92025_0205";2019;"E108";645830.351;6870392.65;"Bonne"
11;"75";"75117";"75117_6714";2019;"E108";649682.716;6865558.49;"Bonne"
11;"92";"92044";"92044_0112";2019;"E108";648479.432;6866640.85;"Bonne"
11;"92";"92004";"92004_0404";2019;"E108";647498.096;6867493.71;"Bonne"
11;"95";"95476";"95476_0107";2019;"E108";631241.668;6885161.6;"Bonne"
11;"95";"95078";"95078";2019;"E108";628728.512;6886671.4;"Bonne"
11;"95";"95422";"95422";2019;"E109";627378.822;6887129.8;"Bonne"
11;"95";"95625";"95625";2019;"E108";624835.824;6889291.29;"Bonne"
11;"95";"95584";"95584";2019;"E109";623278.273;6892117.07;"Bonne"
11;"95";"95142";"95142";2019;"E108";622442.879;6896436.39;"Bonne"
11;"95";"95218";"95218_0107";2019;"E108";633509.478;6880199.02;"Bonne"
11;"95";"95572";"95572_0103";2019;"E108";634469.825;6882572.6;"Bonne"
11;"78";"78172";"78172_0101";2019;"E108";632224.386;6877164.73;"Bonne"
11;"78";"78138";"78138_0104";2019;"E108";628781.772;6874921.39;"Bonne"
11;"78";"78015";"78015_0000";2019;"E108";631215.846;6876790.36;"Bonne"
11;"78";"78015";"78015_0102";2019;"E108";630334.009;6875346.22;"Bonne"
11;"78";"78361";"78361_0119";2019;"E108";605106.225;6877402.6;"Bonne"
11;"78";"78327";"78327";2019;"E108";615544.989;6877538.67;"Bonne"
11;"78";"78267";"78267_0103";2019;"E108";612842.67;6876561.13;"Bonne"
11;"78";"78314";"78314";2019;"E108";611131.662;6876165.66;"Bonne"
11;"78";"78335";"78335_0106";2019;"E108";608289.902;6876781.73;"Bonne"
11;"78";"78361";"78361_0120";2019;"E108";605870.81;6876843.99;"Bonne"
11;"78";"78107";"78107";2019;"E108";593173.131;6872470.18;"Bonne"
11;"78";"78005";"78005_0103";2019;"E108";632481.953;6874771.33;"Bonne"
11;"78";"78368";"78368";2019;"E109";617251.026;6866579.31;"Bonne"
11;"78";"78380";"78380_0101";2019;"E108";616273.215;6868279.33;"Bonne"
11;"78";"78451";"78451";2019;"E109";615072.415;6871573.18;"Bonne"
11;"95";"95018";"95018_0606";2019;"E108";643659.58;6872527.46;"Bonne"
11;"78";"78624";"78624_0103";2019;"E108";627251.711;6876102.65;"Bonne"
11;"78";"78638";"78638";2019;"E108";624122.909;6879111.31;"Bonne"
11;"78";"78401";"78401_0102";2019;"E108";620997.557;6879086.47;"Bonne"
11;"78";"78299";"78299";2019;"E108";619647.682;6878988.31;"Bonne"
11;"95";"95018";"95018_0204";2019;"E108";645619.953;6872139.97;"Bonne"
11;"95";"95176";"95176_0105";2019;"E108";640948.558;6874587.45;"Bonne"
11;"95";"95257";"95257";2019;"E108";639985.231;6875880.77;"Bonne"
11;"95";"95306";"95306_0105";2019;"E108";638623.853;6877072.83;"Bonne"
11;"78";"78172";"78172_0112";2019;"E108";634054.924;6877804.92;"Bonne"
11;"95";"95127";"95127_0109";2019;"E108";632705.37;6882254.79;"Bonne"
11;"92";"92026";"92026_0301";2019;"E108";646364.659;6867563.04;"Bonne"
11;"92";"92026";"92026_0101";2019;"E108";644851.344;6866690.96;"Bonne"
11;"92";"92062";"92062_0101";2019;"E108";644121.187;6866169.74;"Bonne"
11;"92";"92033";"92033_0108";2019;"E108";640325.163;6860116.66;"Bonne"
11;"92";"92076";"92076_0103";2019;"E108";637787.314;6859960.31;"Bonne"
11;"92";"92022";"92022_0102";2019;"E108";640343.944;6857169.05;"Bonne"
11;"92";"92072";"92072_0110";2019;"E108";641338.833;6858888.02;"Bonne"
11;"92";"92064";"92064_0106";2019;"E108";642532.361;6860860.95;"Bonne"
11;"92";"92064";"92064_0104";2019;"E108";642514.513;6862168.84;"Bonne"
11;"92";"92073";"92073_0106";2019;"E108";642861.327;6863778.94;"Bonne"
11;"92";"92062";"92062_0303";2019;"E108";643819.162;6865119.57;"Bonne"
11;"78";"78126";"78126_0110";2019;"E108";636712.4;6860676.95;"Bonne"
11;"78";"78126";"78126_0110";2019;"E108";636313.389;6861903.42;"Bonne"
11;"78";"78350";"78350_0103";2019;"E108";635637.739;6862713.77;"Bonne"
11;"78";"78372";"78372_0107";2019;"E108";633703.149;6863887.65;"Bonne"
11;"78";"78224";"78224";2019;"E108";632337.854;6863564.27;"Bonne"
11;"78";"78224";"78224";2019;"E108";630363.592;6863374.16;"Bonne"
11;"95";"95127";"95127_0118";2019;"E108";629347.621;6883763.04;"Bonne"
11;"95";"95127";"95127_0130";2019;"E108";627685.291;6883540.05;"Bonne"
11;"78";"78551";"78551_0104";2019;"E108";632052.787;6867465.36;"Bonne"
11;"78";"78367";"78367";2019;"E109";632474.742;6864922.7;"Bonne"
11;"78";"78646";"78646_0501";2019;"E108";636527.138;6856961.61;"Bonne"
11;"78";"78646";"78646_0103";2019;"E108";637734.815;6856574.89;"Bonne"
11;"78";"78686";"78686_0102";2019;"E108";638929.548;6856478.79;"Bonne"
11;"91";"91377";"91377_0106";2019;"E108";646647.112;6848597.03;"Bonne"
11;"75";"75108";"75108_3208";2019;"E107";650418.851;6864259.76;"Bonne"
11;"92";"92035";"92035_0103";2019;"E108";644293.372;6867984.55;"Bonne"
11;"78";"78551";"78551_0101";2019;"E108";633597.381;6873202.54;"Bonne"
11;"92";"92009";"92009_0111";2019;"E108";645617.603;6868429.77;"Bonne"
11;"92";"92050";"92050_0602";2019;"E108";642464.668;6867120.09;"Bonne"
11;"78";"78311";"78311_0301";2019;"E108";640255.849;6869264.28;"Bonne"
11;"78";"78586";"78586_0101";2019;"E108";638263.585;6871199.87;"Bonne"
11;"78";"78358";"78358_0104";2019;"E108";637340.981;6872099.81;"Bonne"
11;"78";"78498";"78498_0101";2019;"E108";629756.031;6870797.48;"Bonne"
11;"78";"78672";"78672";2019;"E108";626721.97;6871500.61;"Bonne"
11;"78";"78642";"78642_0102";2019;"E108";625582.881;6876178.39;"Bonne"
11;"78";"78642";"78642_0102";2019;"E108";623513.09;6877483.31;"Bonne"
11;"78";"78440";"78440_0102";2019;"E108";620456.111;6877492.33;"Bonne"
11;"78";"78029";"78029_0102";2019;"E108";615640.021;6875273.96;"Bonne"
